,Age,Company Size,Experience,Team Size,Interruption Freq,Switch Speed,Regain Focus Time,Disruption Level,Method Effectiveness,Productivity,Neg Quality Effect,Job Satisfaction
Age,1.0,0.3902118714842385,0.7429478387466055,0.36505071802392675,0.11451567355076887,-0.011206681145541884,-0.0394151322271054,-0.017706849539740985,-0.22280412282769407,0.18872511970926345,0.004970583823836513,0.27823084717423663
Company Size,0.3902118714842385,1.0,0.3239146938248346,0.3427451164779161,0.07662133997907335,-0.022572521383838598,-0.03062594201887804,-0.017580757703802897,-0.05408274484103129,0.049809617721955815,0.08847915556139127,0.022304426887741157
Experience,0.7429478387466055,0.3239146938248346,1.0,0.3674447593814773,0.17484847724468616,-0.06967355948141639,-0.07933868551017496,0.05540308634613673,-0.07212400178300703,0.13529839183953257,0.004783532167859883,0.32335589478290755
Team Size,0.36505071802392675,0.3427451164779161,0.3674447593814773,1.0,0.3393575937552626,-0.03229655963914084,-0.07374131555370979,0.13390149727346923,0.019029676674655643,0.14184515151355304,0.06878810506351977,0.12477759937574825
Interruption Freq,0.11451567355076887,0.07662133997907335,0.17484847724468616,0.3393575937552626,1.0,-0.03896670492949601,-0.042785552586393154,0.2513268260419295,-0.1072304565115827,0.022039559426423442,0.19692852920234913,-0.13648134748322185
Switch Speed,-0.011206681145541884,-0.022572521383838598,-0.06967355948141639,-0.03229655963914084,-0.03896670492949601,1.0,0.34139782843516514,0.24240256263831028,-0.0467269182925502,-0.047709519309136354,0.14113872137487146,-0.13247236883446672
Regain Focus Time,-0.0394151322271054,-0.03062594201887804,-0.07933868551017496,-0.07374131555370979,-0.042785552586393154,0.34139782843516514,1.0,0.3065047534271664,0.04119954850466033,-0.05001727449547481,0.35785130558822553,-0.04758925016739231
Disruption Level,-0.017706849539740985,-0.017580757703802897,0.05540308634613673,0.13390149727346923,0.2513268260419295,0.24240256263831028,0.3065047534271664,1.0,0.02873670318254468,0.07637738392858262,0.6362896511950796,-0.041569075564984515
Method Effectiveness,-0.22280412282769407,-0.05408274484103129,-0.07212400178300703,0.019029676674655643,-0.1072304565115827,-0.0467269182925502,0.04119954850466033,0.02873670318254468,1.0,0.5631547409948593,-0.02829879971203301,0.2953057120864723
Productivity,0.18872511970926345,0.049809617721955815,0.13529839183953257,0.14184515151355304,0.022039559426423442,-0.047709519309136354,-0.05001727449547481,0.07637738392858262,0.5631547409948593,1.0,-0.023728737453974212,0.2923283730428076
Neg Quality Effect,0.004970583823836513,0.08847915556139127,0.004783532167859883,0.06878810506351977,0.19692852920234913,0.14113872137487146,0.35785130558822553,0.6362896511950796,-0.02829879971203301,-0.023728737453974212,1.0,-0.06067543485835984
Job Satisfaction,0.27823084717423663,0.022304426887741157,0.32335589478290755,0.12477759937574825,-0.13648134748322185,-0.13247236883446672,-0.04758925016739231,-0.041569075564984515,0.2953057120864723,0.2923283730428076,-0.06067543485835984,1.0
